Cer-CycPro	Cer-Endo	Cer-ExN-1	Cer-ExN-2	Cer-ExN-3	Cer-ExN-4	Cer-ExN-5	Cer-InN-1	Cer-InN-2	Cer-InN-3	Cer-InN-4	Cer-InN-5	Cer-InN-6	Cer-InN-7	Cer-InN-8	Cer-IP	Cer-MG	Cer-OPC	Cer-RG-1	Cer-RG-2	Cer-RG-3	FC-CycPro	FC-Endo	FC-ExN-1	FC-ExN-2	FC-ExN-3	FC-ExN-4	FC-ExN-5	FC-InN-1	FC-InN-2	FC-InN-3	FC-InN-4	FC-IP	FC-MG	FC-N-undef	FC-OPC	FC-RG-1	FC-RG-2	GE-CycPro	GE-InN-1	GE-InN-2	GE-InN-3	GE-InN-4	GE-InN-5	GE-InN-6	GE-InN-7	GE-RG-1	GE-RG-2	GE-RG-3	Hipp-CR-1	Hipp-CR-2	Hipp-CycPro	Hipp-Endo	Hipp-ExN-1	Hipp-ExN-2	Hipp-ExN-3	Hipp-ExN-4	Hipp-ExN-5	Hipp-ExN-6	Hipp-InN-1	Hipp-InN-2	Hipp-InN-3	Hipp-InN-4	Hipp-MG	Hipp-OPC	Hipp-RG-1	Hipp-RG-2	Hipp-RG-3	Thal-CycPro	Thal-Endo	Thal-ExN-1	Thal-ExN-2	Thal-ExN-3	Thal-InN-1	Thal-InN-2	Thal-InN-3	Thal-InN-4	Thal-InN-5	Thal-InN-6	Thal-InN-7	Thal-InN-8	Thal-IP	Thal-MG	Thal-OPC	Thal-RG-1	Thal-RG-2	Thal-RG-3	Thal-RG-4	Thal-RG-5	Thal-RG-6	Thal-RG-7
FIGNL1	AC073172.1	PNLDC1	AC005692.1	ADAM22	AC098851.1	AC068189.1	NCOA7-AS1	AC016769.5	KIF25-AS1	AC007350.1	AL138716.1	AC007349.1	LRRC72	ADRB1	AC004522.3	CCDC88B	LINC01111	AL646090.2	AL033384.2	Z98742.4	AC105180.2	CD9	TRMT9B	PTPRN2	STAU2-AS1	KBTBD11	AP006545.2	AC069133.1	AC022679.2	ARHGEF35	HACD4	AC011029.1	AC069209.2	AL691447.2	KLRK1	AC090204.1	PKHD1L1	AL157392.1	FRMD4A	AL157392.2	TXN	MSANTD3	AL356489.2	SHB	VIM-AS1	TJP2	AF117829.1	LINC01111	PTPRD	KIF18A	THNSL1	AC055855.2	AC068672.2	AL353746.1	PLPP7	LINC01410	GPR158	CACNA1C	AC109322.2	ANAPC2	AC055788.1	SFXN3	HIF1A-AS3	AP003393.1	ALKAL1	AF117829.1	PBLD	AC009646.2	NEAT1	C8orf31	AC021733.4	LRTM2	AC006148.1	RASA4	AC005692.3	SHH	AC004884.2	POT1-AS1	LY6E	AMBP	AC104232.3	SLC25A45	HAS2-AS1	RPS6KA2	MPP6	C7orf61	ARC	AL512643.2	KCND2	AC104393.1
COBL	HTATIP2	HGC6.3	TRPV5	AC003991.1	AC004921.2	SDC2	AL355581.1	AC005482.1	KIF25	AC009262.1	LINC02487	AMPH	AC007091.1	C10orf82	MBLAC1	ZFPL1	ZFHX4-AS1	LINC02549	MLIP	ARMC2	RHPN1	LTBR	PHYHIP	ERICH1	JPH1	AC022068.1	AC084024.4	SLCO5A1	AC090200.1	AC006974.2	LINC01239	ZFHX4-AS1	P2RX4	AL589843.1	KLRC3	FUT10	TNFRSF11B	SUV39H2	AC044781.1	AC044781.1	SVEP1	CAVIN4	AL356489.3	BX664615.2	ST8SIA6	SMC5-AS1	RIPK2	ZFHX4-AS1	AL596451.1	LINC02742	MYO3A	SMAD6	NRG1	LINGO2	GBGT1	ZNF658	LINC02652	RBP5	ZNF34	TMEM203	AARD	AC010789.2	ZFP36L1	AP004147.1	AC009646.2	RIPK2	STOX1	AC022034.3	SIPA1	MROH6	LINC01151	RHNO1	AC009244.2	AC004917.1	WEE2	AC006372.3	EFCAB10	FAM71F2	MROH6	KIF12	SULF1	NEAT1	ZHX2	AL009178.2	GSDME	TSC22D4	RHPN1	ADAMTSL1	CADPS2	AC009630.1
EGFR	SVIP	AL078605.1	CLCN1	STEAP4	AC005076.1	AP003467.1	TMEM200A	AUTS2	LINC00242	NPSR1-AS1	AL009178.2	SUGCT	AC003044.1	AC016825.1	AC073842.1	SLC25A45	AC083837.1	AL606923.2	MLIP-AS1	ARMC2-AS1	AC105219.1	AC005840.2	AC037459.2	DLGAP2	AC011029.1	MFHAS1	ZMAT4	AC091047.1	RPS20	AC005229.5	AL391117.1	ZFHX4	AC156455.1	AL590705.1	KLRC2	FGFR1	AC021733.4	DCLRE1C	AL157896.1	AL157896.1	ZNF483	AL591506.1	AL513165.1	AL445584.2	CACNB2	GDA	OSGIN2	AC083837.1	LURAP1L-AS1	MPPED2-AS1	MASTL	AC093334.1	AC068931.1	AL445526.1	MED22	AL354733.2	NRP1	CD163	ZNF16	LINC00200	SAMD12	RPARP-AS1	ISCA2	HEPACAM	AC022034.3	OSGIN2	AL596223.1	AC022034.1	EFEMP2	AC105219.1	AC068228.3	KCNA5	AC018643.1	AC005050.3	TRPV5	DLGAP2	AC002467.1	AC078845.1	NAPRT	AL691420.1	SLCO5A1	SIPA1	AC068228.3	AL009178.3	CREB5	AC069281.1	PYCR3	SAXO1	AC004594.1	GINS4
AC016769.5	ANO3	AC073094.1	AC006004.1	AC002069.2	TMEM243	AC018442.2	ARG1	GALNT17	GRID2IP	NPSR1	AL009178.3	AC004988.1	JAZF1	SHTN1	PVRIG	NEAT1	AC009686.1	AL365226.1	TINAG	AL390208.1	HGH1	CD27	AC107959.1	AC100797.5	PKIA	AC034111.2	AC120036.4	AC079089.1	LINC01602	ATG9B	AL445623.2	PEX2	THRIL	CCDC180	TAS2R19	AC087623.1	DSCC1	ACBD7	HSPA14	RPP38	ZFP37	PALM2-AKAP2	ALDH1B1	ZNF658	AL390783.1	RORB-AS1	NBN	HEY1	LURAP1L	DCDC1	MKX	SMAD3	NRG1-IT1	PRSS3	BRD3	AL353572.4	AL353600.1	AC006511.4	CDC37L1	ADARB2	SAMD12-AS1	C10orf95	LTBP2	PATE2	PLAG1	LRRC69	HKDC1	RGS20	CD248	AC105219.4	FER1L6	AC007848.2	AC078845.1	LINC02577	OR2A5	AC245519.1	LAMB4	AC009264.1	TIGD5	PAPPA	AC079089.1	UNC93B1	AC090198.1	KIF25-AS1	LINC01176	EPHB4	AC105219.1	AL365204.1	ASB15	AC090739.1
ZNF107	AC021698.1	AC102953.2	AC093458.1	ZNF804B	ABCB4	FBXO43	ENPP3	CALN1	VWDE	DPY19L1	AFDN-DT	AC005160.1	JAZF1-AS1	VAX1	AC092849.1	SSSCA1-AS1	AC009812.3	AL589935.1	FAM83B	PPIL6	TONSL	NANOG	AC025871.1	AF067845.2	AC009812.4	MSRA	ST18	AC022858.1	AC027698.1	AC006019.3	ELAVL2	PKIA-AS1	LINC02414	GABBR2	PRB1	C8orf86	AC104958.1	PTER	NMT2	NMT2	BRINP1	TXN	BX664615.2	TRPM6	AL450384.2	RORB	CALB1	AC079209.2	AL161449.2	AL137804.1	ARMC4	ITGA11	FUT10	AL354989.1	PPP1R26	NXNL2	AL117339.4	STYK1	RCL1	ADARB2-AS1	MAL2	NEURL1-AS1	FOS	AP000842.2	AC090152.1	AC117834.1	LINC02636	TTPA	TCIRG1	EPPK1	CCDC26	PTMS	DGKI	AC006387.1	SSPO	AC034111.2	NRCAM	CHRM2	FAM83H	PAPPA-AS2	TMEM70	ALDH3B1	ASAP1-IT2	BX322234.1	NOD1	TRIM56	NRBP2	AL451123.1	GPR37	AC120036.4
AC104073.4	LMO2	PAPOLB	AC092666.1	AC002383.1	ADAM22	AP002907.1	AL133346.1	SPDYE17	AC011287.1	AC005400.1	AFDN	LINC01450	AC007036.5	EMX2OS	AC069281.1	SIPA1	AC009902.3	AL590428.1	AL135905.2	SMPD2	RECQL4	SLC2A3	EXTL3-AS1	DLGAP2-AS1	RUNX1T1	AC104964.3	AC021915.2	EYA1	TOX	AC073336.1	AL365204.1	LINC01607	AL355001.2	ANKS6	AC007619.1	ADAM32	ZHX2	MIR1915HG	RSU1	AL607028.1	PDCL	SUSD1	BMS1P14	PCA3	AL157895.1	AL137018.1	CPQ	AC018616.1	NFIB	DNAJC24	ZEB1-AS1	PAQR5	AP006545.2	C9orf24	C9orf116	AL133477.2	ZNF239	PRR4	PTPRD-AS1	LINC02645	AC021733.4	AL121929.2	BATF	BARX2	NKAIN3	DPY19L4	NPFFR1	YTHDF3-AS1	AP002490.1	PLEC	AC022973.3	ENO2	AKR1D1	LAMB4	ACTR3C	AF131215.6	PPP1R3A	AKR1D1	WDR97	PAPPA-AS1	AC103952.1	TCIRG1	AC103726.1	THBS2	GGCT	AC105052.5	OPLAH	TMEM215	GRM8	AC064807.2
ELN	CD44	RBAKDN	AC005586.1	STEAP2-AS1	AC002458.1	AP003696.1	LINC01013	AC006972.1	AC011287.2	AC018647.3	LINC02519	LINC01449	CRHR2	EMX2	ACTL6B	AP000759.1	AC009902.2	MEI4	AL646090.2	METTL24	CDC37L1-DT	CLEC4E	INTS9-AS1	KBTBD11	AF181450.1	AC104964.1	AC021915.1	AC013562.1	AC090152.1	EN2	LINC01242	AC034114.2	RASL11A	GALNT12	AC023790.2	TCIM	AC016405.1	SKIDA1	COMMD3	GAD2	ZBTB6	PTBP3	PIP5K1B	TLE4	AL358780.1	GKAP1	MATN2	PMP2	AL137017.1	ELP4	GDF10	UACA	C8orf86	AL589645.1	GLT6D1	ZNF510	TMEM72-AS1	TAS2R31	AL589678.1	AL713851.1	COL14A1	ACSL5	AC008050.1	ADAMTS8	AC090577.1	CPQ	LRRC20	MYBL1	ARHGEF17	PARP10	HPYR1	NECAP1	SVOPL	AC073071.1	ATG9B	AC022239.1	ST7	KIAA1549	HGH1	ASTN2	ZFHX4	CCND1	AF230666.1	C6orf120	AC005154.4	FBXL13	AC084125.2	FAM166B	AC002057.2	ST18
RFC2	PAMR1	SLC29A4	KCNH2	AC002064.1	AC079760.2	AC021546.1	AL355881.1	FGL2	LRRC72	AC006960.3	DLL1	INHBA	AC008080.3	LINC00867	AC105446.1	RIN1	AC018616.1	AL359715.1	LINC02549	AL050350.1	AL136366.1	A2M	AC026979.2	AC245187.2	TRIQK	AC104964.2	XKR4	AC022893.2	AC068389.3	AC005534.1	BMS1P14	AC018616.1	ALOX5AP	AL358937.1	AC007535.1	SFRP1	ATAD2	AL358780.1	BMI1	AL353796.2	MIR600HG	AKNA	FAM122A	AL591368.1	AL359697.1	GAS1	NIPAL2	AC023644.1	AL162725.2	AC131571.1	ZWINT	AC009269.2	ADAM18	CNTNAP3	TMEM250	AL590705.1	MARCH8	PRB2	LURAP1L-AS1	AKR1C1	HAS2-AS1	AL139120.1	AC007376.2	NTM	AC009879.4	MATN2	CHST3	MCMDC2	SLCO2B1	WDR97	AC105180.2	LINC02449	ATP6V0A4	AC073114.1	ASIC3	MSR1	ST7-AS2	HIPK2	ADCK5	ASTN2-AS1	AC012533.1	AP003783.1	AC103706.1	DLL1	MINDY4	LRRC17	GPT	RMRP	AC000099.1	AC021915.2
AC004921.2	AL136146.2	AC092171.3	AGAP3	AC003086.1	CDK6	AC103853.1	MAP7	GSAP	AC073333.1	HECW1	AL008628.1	AC005537.1	AC009262.1	AC010998.1	AC006329.1	AP002748.4	PMP2	AL359715.2	AL606923.2	LAMA4	CNTLN	CD69	AC026979.1	AC245123.1	AC068189.1	PRSS51	AC092819.3	SBSPON	AC113143.1	MNX1	AL353626.1	AC023644.1	AL138999.2	TMEM246	GUCY2C	AC104393.1	AC135166.1	DNAJC1	SPAG6	CREM	NIBAN2	AL355592.1	TRPM3	AL137847.2	AL160291.1	SEMA4D	STK3	AC011773.4	SH3GL2	PAX6	AC010996.1	STRA6	ANK1	BX664727.3	CR392000.2	AL590705.2	GPRIN2	GPRC5D-AS1	AL583785.1	AKR1C2	AC037486.1	AL137025.1	GPR65	AP003025.1	ADHFE1	STK3	SYNPO2L	MSC-AS1	SERPINH1	MROH1	LINC02055	GABARAPL1	TMEM213	IMMP2L	PRKAG2-AS1	AC011586.2	AC002542.6	TMEM178B	KIFC2	AL133284.1	AC105031.2	FOLR2	KHDRBS3	LFNG	ADCYAP1R1	NFE4	KANK1	HINT2	IMPDH1	LINC01606
DBF4	C11orf96	AC092171.5	AC093583.1	ASNS	AC000065.2	LINC01608	ARFGEF3	GNAT3	AHR	HECW1-IT1	AC093627.5	HECW1	AC018647.2	FGFR2	COL26A1	SSH3	FABP12	TENT5A	AL365226.1	Z99289.1	HAUS6	CLEC2B	AC009563.1	LINC00599	GRHL2	AC104964.4	LINC01289	RPL7	AC113143.3	AC006372.3	AL591926.2	LINC02235	ELF1	GRIN3A	AC024145.1	AC009630.1	LINC00861	PIP4K2A	AL353801.1	ZNF33B	ENG	BRINP1	CEMIP2	AL354733.2	SVIL	AL606807.1	KCNS2	CA13	AL391834.2	PAUPAR	BICC1	CSPG4	ALKAL1	AL353626.1	GPSM1	TRMO	AL591684.1	GRIN2B	NFIB	TAF3	RNF139-AS1	C10orf82	KCNK13	AP003025.2	PPP1R42	NCALD	FUT11	SBSPON	LINC02757	SCX	AC046195.1	YBX3	CLEC2L	LRRN3	AC006348.1	AC011586.1	CTTNBP2	AGK	GPT	AL157829.1	AC015522.1	ARAP1	ADGRB1	AMZ1	SEPTIN7-AS1	EFCAB10	AL136979.1	GLIPR2	KCP	AC068389.1
AC000065.2	ALX4	MEOX2	AC005998.1	LMTK2	AC000065.1	AC084114.1	PBOV1	PCLO	AC073332.1	CAMK2B	AC091729.1	HECW1-IT1	POU6F2	GPR26	AC005096.1	POLD4	AF121898.1	PRSS35	AL589935.1	Z99289.2	AL391834.1	CLEC1A	NRG1	AC034111.2	NCALD	PRSS55	VXN	GDAP1	AC022182.1	AC005481.1	TRPM3	AC100801.1	TNFSF11	FRRS1L	ITPR2	GINS4	AF230666.1	AL157385.2	C10orf25	SH2D4B	AL162586.1	PDCL	ABHD17B	DIRAS2	JCAD	CENPP	FBXO43	AC011773.3	ACER2	DEPDC7	PHYHIPL	PEAK1	AC022679.2	CNTNAP3B	GRIN1	TRIM14	FO681492.1	AC024901.1	AL137017.1	PROSER2-AS1	AC016074.2	PLEKHA1	RIN3	NTM-AS1	PI15	UBR5-AS1	AC018511.2	AC011632.1	LRRC32	TMEM249	AC046195.2	SMIM10L1	AC006004.1	LSMEM1	PAXIP1-AS2	AC009884.1	AC006333.2	TRPV5	ZNF517	PTGS1	AC011773.4	UCP2	ARC	MMD2	ELMO1	AC005487.1	RFX3	AL845472.1	ATP6V1FNB	CHD7
CALCR	CD82	AC006041.2	AC006019.1	TMEM130	AC002454.1	AP005717.2	ABRACL	SEMA3E	DNAH11	ADCY1	NUDT1	LUARIS	POU6F2-AS2	MKI67	AC005064.1	CABP4	AC037450.1	AL450338.2	CGAS	Z99289.3	MTAP	YBX3	AC068931.1	MSRA	RRM2B	FAM66D	C8orf34-AS1	MIR2052HG	MIR124-2HG	VIPR2	CEMIP2	DECR1	EPSTI1	EPB41L4B	AC023051.1	MCM4	COL22A1	MYO3A	ADO	GHITM	DPM2	SH2D3C	GDA	ZNF510	CCDC7	OGN	SPAG1	CA1	AL158206.1	CSTF3-DT	CDK1	AC046168.2	AC090200.1	ANKRD20A3	ANAPC2	CORO2A	ANK3	LINC02398	C9orf92	HSPA14	CASC8	BX842242.1	LGMN	AP000844.2	CRISPLD1	BAALC	ZNF503	CRISPLD1	AP003119.3	ADCK5	AC103758.1	LOH12CR2	GHET1	FOXP2	AC008060.4	SLC18A1	AC002057.2	KEL	AL161725.2	AL450263.1	AC090578.1	AP001372.1	C8orf31	RBAKDN	ELMO1-AS1	ST7-OT4	RFX3-AS1	FAM242F	AC078842.1	AC113143.1
GNGT1	PACSIN3	LRRC72	EN2	VGF	GNGT1	DSCC1	AL050338.1	SEMA3D	RAPGEF5	AC004870.4	AC092171.4	MYL7	INHBA-AS1	AL360181.1	RELN	ACY3	MMP16	AL158136.1	AL603910.1	AL365214.2	CDKN2B-AS1	LOH12CR2	NRG1-IT1	AC023385.1	UBR5-AS1	ASAH1	C8orf34	AC115837.2	SLCO5A1	ZNF596	GDA	SDC2	LCP1	PTPN3	INTS13	AC022915.2	MAPK15	MASTL	NODAL	MMRN2	AL356481.1	URM1	TRPM6	AL590705.1	NRP1	OMD	NCALD	CA3	MLLT3	AGBL2	RTKN2	CTSH	CHCHD7	ANKRD20A1	EXD3	GALNT12	AL592430.1	GOLT1B	AL162725.2	SUV39H2	MYC	IKZF5	TMEM251	OPCML	AC083837.1	BAALC-AS1	DLG5	LINC01607	SYTL2	KIFC2	LYNX1	ART4	ATP6V0E2-AS1	AC073626.1	SHH	AC021613.1	AC009244.2	AC073342.1	DMRT3	ZNF79	AC091096.1	KCNE3	AC109322.2	AC092171.1	SFRP4	AC106873.1	AL354977.1	LERFS	DGKI	LINC02842
AC002074.1	LRRC55	LINC01162	AC011899.2	COL26A1	SLC25A13	MTBP	NMBR	AC004023.1	AC004485.1	PKD1L1	AC092171.5	CAMK2B	MYL7	FUOM	SLC26A4-AS1	UNC93B1	GDF6	AL034348.1	AL590428.1	AL360015.1	TUSC1	GSG1	NRG1-IT3	AC104964.3	UBR5	AC124242.1	AC013562.1	IL7	AC091047.1	DLGAP2-AS1	RORB-AS1	BAALC-AS1	RUBCNL	PALM2-AKAP2	TM7SF3	RGS20	TONSL	C10orf25	MMRN2	PDE6C	PLPP7	GLE1	NFIL3	CORO2A	RASGEF1A	ASPN	BAALC	CA2	AL445623.2	GLYATL2	LINC01515	CPEB1	AC107952.2	PIP5K1B	NOXA1	AL136084.2	COL13A1	AC092747.4	SH3GL2	SPAG6	NDRG1	AL158166.2	TNFAIP2	LINC02743	AC018616.1	FZD6	LINC00595	AC009902.2	AP001528.1	GPT	MROH1	CMAS	ACTR3C	AC003992.1	AC005534.1	GFRA2	AC078846.1	TMEM139	PTPRD	AL162426.1	AC120053.1	SLCO2B1	TONSL	COL28A1	LINC01449	AC015983.2	GLIS3	LINC01504	AC093673.2	NKAIN3
CYP3A43	APLNR	SNX10	ERICH1	AC005086.2	SDHAF3	TBC1D31	LINC01277	STEAP2-AS1	OSBPL3	SUN3	AIMP2	AC211476.2	AC073325.1	SPRN	AC002467.1	ALDH3B1	AP003467.1	FUT9	COL12A1	RSPH4A	AL451123.2	EMP1	UNC5D	AC104964.1	AP002852.1	AC124242.3	AC036214.1	STMN2	NCOA2	AC246817.1	GNA14-AS1	FZD6	ITM2B	AL161630.1	AC024896.1	SDR16C5	GLIS3	ZNF488	LINC00865	LGI1	UCK1	AL356481.1	FGD3	GABBR2	TMEM72-AS1	ECM2	ZFPM2	AF117829.1	ELAVL2	FAM111B	CTNNA3	ADAMTSL3	SDR16C5	AL354794.1	NSMF	TMEM246	NPFFR1	ARNTL2	SAXO1	GAD2	AC083843.3	LINC01163	TDRD9	IGSF9B	PMP2	CTHRC1	AL583852.1	AC011773.3	FZD4	RECQL4	ADCK5	AC023510.2	ATG9B	MDFIC	AC004908.2	NPM2	AC009365.4	EPHA1	PTPRD-AS2	AL162586.1	CCNE2	AP002498.1	AC084125.2	AC004982.2	GLI3	FEZF1	AL359095.1	PCSK5	EPHA1	AC090577.1
C7orf61	TNKS1BP1	JAZF1-AS1	AC022784.1	LRWD1	AC004522.3	ATAD2	AL023581.2	STEAP1	SNX10	UPP1	AC004982.1	TRIM74	ABCA13	AL161645.1	LAMB1	TCIRG1	NCALD	KLHL32	AL355612.1	GJA1	AL356489.2	H2AFJ	AC105230.1	AC104964.2	KLF10	AC100849.1	TPD52	AC036214.2	AC022858.1	PPP1R3B	NTRK2	TMEM74	LPAR6	AL596244.1	C12orf40	LINC01602	AL162253.1	ARHGAP22	LINC01374	PDLIM1	VAV2	DOLK	AL360020.1	GRIN3A	DKK1	AL157827.2	ZFPM2-AS1	RIPK2	AL365204.1	STX3	AC022017.1	ALPK3	PENK	FXN	ZMYND19	GRIN3A	ADAMTS14	ARNTL2-AS1	MLLT3	AL391839.1	ARC	EBF3	PLD4	AC021054.1	CA13	ANGPT1	PCGF5	RIPK2	NOX4	WASHC1	AL161725.2	AC025253.2	WDR86	LINC01392	AC034111.2	FGF17	AC083862.3	TPK1	AL355672.1	ST6GALNAC4	AC087752.4	MYO7A	AL158832.2	AC006042.2	RAMP3	FEZF1-AS1	IL33	PCA3	AC005229.5	TTPA
EPHB4	SLC43A3	ZNRF2	LINC00599	SPDYE2B	ZAN	ANXA13	STX11	STEAP2	AC004540.1	AC099681.1	AC006042.2	AC211486.2	GRB10	IRF7	AC073114.1	AP002807.1	CTHRC1	AL589826.2	MEI4	AL133257.1	KIF24	ERP27	AC124290.1	PRSS51	AP002851.1	LPL	AC015522.1	AC034114.2	EYA1	AC022784.1	DAPK1	TNFRSF11B	AL157813.1	AC007066.2	SLC2A13	TOX	IL33	SGMS1-AS1	CCNJ	CCNJ	RXRA	ASS1	LINC02603	LINC01509	FAM13C	AL353768.2	AC027031.2	SLC26A7	LINGO2	TMEM216	DNA2	PDE8A	AC012349.1	FAM189A2	LINC02645	OR13C3	MCU	PPFIBP1	FOCAD	ZNF22	MINCR	AL354950.3	CYFIP1	FGF23	CA1	EIF3E	FGFBP3	RAD54B	FUT4	AL158832.2	KCNV2	AC004466.1	AC006348.1	AC092590.1	AF131215.4	SFTPC	AC009542.1	CNTNAP2	AL591222.1	SLC25A25-AS1	TP53INP1	GAB2	KANK1	ETV1	AC073968.2	IQUB	GLDC	GNA14	C7orf33	CYP7B1
SLC12A9-AS1	OR9Q1	GHRHR	AC023385.1	AC005064.1	EPHB4	AC090198.1	AL023806.1	CYP51A1-AS1	KIAA0087	LINC02848	GLCCI1	SSC4D	AC006478.1	PANO1	LRRN3	GAL	AC012213.2	POU3F2	HMGN3-AS1	AL365259.1	ARID3C	ARHGDIB	AC090809.1	AC104964.4	AC104248.1	LZTS1	RALYL	AC009812.4	AC022893.2	AC034111.2	DAPK1-IT1	ZHX1	AL161421.1	LMX1B	LRRK2	LINC01301	AL133480.1	ZWINT	FRAT1	FRAT1	PPP1R26-AS1	STKLD1	AL691447.2	FRRS1L	ANK3	SLC35D2	AC025508.1	GEM	TOPORS	DAGLA	CHST3	ISG20	LINC00968	SMC5-AS1	AL713851.1	PALM2-AKAP2	OIT3	REP15	LINC01239	FAM245B	IQANK1	JAKMIP3	FMN1	CDCA3	AF117829.1	TNFRSF11B	KIF11	DPY19L4	AMOTL1	AL161725.2	AL161443.1	AC004466.2	AC008060.1	TES	AC022239.1	AC090197.1	TMEM213	GHET1	MLLT3	AL359091.4	VPS13B-DT	AP003086.1	AL136979.1	ITGB8	TNS3	FLNC	AL162411.1	AL512634.1	ZNF786	LINC01299
AC006329.1	MS4A2	NEUROD6	AC104964.2	RELN	SLC12A9	ZNF572	ULBP3	MBLAC1	AC004947.1	AC073270.2	NXPH1	GNAI1	VSTM2A	DUSP8	FEZF1	AP000439.2	AC103853.1	AL513550.1	AL359715.3	LINC02523	SIGMAR1	RERGL	KCNU1	PRSS55	TRHR	NPM2	AF121898.1	ZNF704	RPL7	AC023385.1	AL158071.3	FER1L6	PHF11	AL162426.1	CNTN1	AC023866.2	GLDC	AC010996.1	FRAT2	FRAT2	MRPS2	VAV2	AL162394.1	AL359636.2	AL592430.1	ZNF367	RSPO2	SDC2	ANKRD18B	SNHG1	DNAJC9	PLIN1	AC021393.1	TRPM3	CELF2-DT	AL162426.1	AL731563.3	AC012150.1	AL391117.1	AL138760.1	WDR97	SPRN	AC087516.2	RBP5	C8orf87	AP005717.2	CEP55	CCNE2	ARHGAP42	SMARCA2	AL596451.1	CCDC184	AC009403.1	AC002066.1	AC068587.4	AC120193.1	FMC1	ZBED6CL	AL391117.1	CERCAM	FBXO43	LINC02720	DMRT2	AC005165.1	COBL	TSPAN33	AL354707.1	AL591368.1	ATP6V0E2-AS1	MYBL1
AC005086.2	CCDC86	BMPER	AF131215.4	AC004884.2	SLC12A9-AS1	AC084083.1	AL358134.1	GAL3ST4	AC005013.1	AC016769.5	AC004879.1	AC003988.1	VSTM2A-OT1	CHRNA10	CADPS2	FOLR2	AC087620.1	AL590608.1	AL359715.1	CCN2	CCL27	PDE3A	ZNF703	C8orf48	AC021237.1	FGF17	TSPYL5	AC012533.1	GDAP1	PRSS55	C9orf129	AC090921.1	KCNRG	PIP5KL1	ADAMTS20	NKAIN3	AL162411.1	CDK1	AL138762.1	ABCC2	KCNT1	RXRA	AL358937.1	AC007066.2	ARID5B	PRXL2C	TMEM74	CPQ	AL354989.1	PLCB3	AC016394.1	FES	CA8	TMC1	SFTA1P	PIP5KL1	SYNPO2L	PRICKLE1	AL365204.1	ASAH2B	TMEM249	SCART1	BMF	A2M-AS1	TMEM67	COL14A1	LGI1	STK3	TRPC6	PTPRD	PTPRD-AS2	CACNB3	SHH	CAV2	AC130352.1	ADAM7	AC005692.3	AC006372.3	MOB3B	LINC01503	AC012213.4	CCDC83	AL354977.1	TRIL	EGFR	SMO	AL136366.1	RASEF	AC092666.1	AC036214.4
NAPEPLD	PTGDR2	KIAA0895	AF131216.1	ATXN7L1	POLR2J2	PRNCR1	AL589693.1	AC005071.1	AC005162.3	AC073210.3	PHF14	AC004862.1	AC016769.5	MMP26	AC004594.1	INPPL1	CSMD3	Z95118.2	AL359715.2	EYA4	FANCG	SLCO1A2	PLPP5	ZDHHC2	LINC01609	DMTN	SNX31	AC079209.1	MIR2052HG	AF131215.6	LINC02603	CASC19	DLEU1	AL161785.1	AC008127.1	NKAIN3-IT1	AL137017.1	RTKN2	TWNK	CHUK	CR392000.2	PNPLA7	TMEM246	MIR600HG	AL139240.1	NANS	SYBU	NIPAL2	GLIPR2	CDCA5	SYNPO2L	LINC02207	LINC01414	ALDH1A1	CELF2	SLC25A25-AS1	AC073389.2	AC008083.3	AL353811.1	CSTF2T	ERMP1	CYP2E1	INAFM2	PZP	DPY19L4	LRRC6	AL157396.1	RGS22	TMEM123	PTPRD-AS2	AL591222.1	ARF3	AC005534.1	ST7-AS2	AC011586.2	AC107373.2	CLEC5A	AC006372.1	LINC01242	ABO	ZFPM2-AS1	CTSC	SLC1A1	NOD1	NUPR2	LRGUK	AL162725.2	AL137847.1	KCNH2	AC036214.2
AC004014.1	TMEM109	POU6F2	FDFT1	CDHR3	AC005064.1	PVT1	AL512658.2	PCOLCE-AS1	AC004593.1	CT66	AC004160.1	PCLO	AC073210.3	HBB	AC019155.2	AP002892.2	AC024996.1	ARMC2-AS1	TENT5A	TARID	RMRP	KCNJ8	AC087623.1	AC124242.3	COL14A1	PHYHIP	GRHL2	AC132219.1	AC115837.2	AF131215.5	GABBR2	AC104370.1	RNASEH2B-AS1	AK8	AC079950.1	TTPA	SAXO1	DNA2	PDZD7	BTRC	NPDC1	CACNA1B	SVEP1	AL162584.1	FAM241B	TRIM14	TRPS1	STK3	IGFBPL1	MRPL49	AL133481.1	LINC00924	AC069133.1	RORB-AS1	LINC00710	DNM1	SFTPD	RAPGEF3	TMEM215	SIRT1	AL161443.1	DUSP8	SPINT1-AS1	LINC02470	C8orf37-AS1	TMEM71	PLCE1-AS2	FBXO43	CASP4	AL355672.1	MIR31HG	DDN	DLGAP2-AS1	CFTR	AC011586.1	AC009623.1	TMEM139	PTPRN2	ANKRD18B	DBH-AS1	AC027031.2	AP000779.1	AL162384.1	MINDY4	ZNF680	AC078842.1	LINC01241	AL157886.1	PRKAG2	AC009686.1
